folder,value,photo_name,photo_name_length
8530,C:/Users/matwi/Projects/repo/fish_passage_skeena_2022_reporting/data/photos/8530/20220912_124140.JPG,20220912_124140.JPG,19
8530,C:/Users/matwi/Projects/repo/fish_passage_skeena_2022_reporting/data/photos/8530/20220912_124143.JPG,20220912_124143.JPG,19
8530,C:/Users/matwi/Projects/repo/fish_passage_skeena_2022_reporting/data/photos/8530/20220912_130840.JPG,20220912_130840.JPG,19
8530,C:/Users/matwi/Projects/repo/fish_passage_skeena_2022_reporting/data/photos/8530/20220912_130855.JPG,20220912_130855.JPG,19
8530,C:/Users/matwi/Projects/repo/fish_passage_skeena_2022_reporting/data/photos/8530/20220913_102101.JPG,20220913_102101.JPG,19
8530,C:/Users/matwi/Projects/repo/fish_passage_skeena_2022_reporting/data/photos/8530/20220913_102211.JPG,20220913_102211.JPG,19
8530,C:/Users/matwi/Projects/repo/fish_passage_skeena_2022_reporting/data/photos/8530/20220913_102453_d1_k_.JPG,20220913_102453_d1_k_.JPG,25
8530,C:/Users/matwi/Projects/repo/fish_passage_skeena_2022_reporting/data/photos/8530/20220913_102534.JPG,20220913_102534.JPG,19
8530,C:/Users/matwi/Projects/repo/fish_passage_skeena_2022_reporting/data/photos/8530/20220913_102548.JPG,20220913_102548.JPG,19
8530,C:/Users/matwi/Projects/repo/fish_passage_skeena_2022_reporting/data/photos/8530/20220913_102624_d2_k_.JPG,20220913_102624_d2_k_.JPG,25
8530,C:/Users/matwi/Projects/repo/fish_passage_skeena_2022_reporting/data/photos/8530/20220913_102736.JPG,20220913_102736.JPG,19
8530,C:/Users/matwi/Projects/repo/fish_passage_skeena_2022_reporting/data/photos/8530/20220913_132212.JPG,20220913_132212.JPG,19
8530,C:/Users/matwi/Projects/repo/fish_passage_skeena_2022_reporting/data/photos/8530/20220913_132231.JPG,20220913_132231.JPG,19
8530,C:/Users/matwi/Projects/repo/fish_passage_skeena_2022_reporting/data/photos/8530/20220913_132235.JPG,20220913_132235.JPG,19
8530,C:/Users/matwi/Projects/repo/fish_passage_skeena_2022_reporting/data/photos/8530/20220913_132247.JPG,20220913_132247.JPG,19
8530,C:/Users/matwi/Projects/repo/fish_passage_skeena_2022_reporting/data/photos/8530/20220913_132256.JPG,20220913_132256.JPG,19
8530,C:/Users/matwi/Projects/repo/fish_passage_skeena_2022_reporting/data/photos/8530/20220913_132309.JPG,20220913_132309.JPG,19
8530,C:/Users/matwi/Projects/repo/fish_passage_skeena_2022_reporting/data/photos/8530/20220913_132319.JPG,20220913_132319.JPG,19
8530,C:/Users/matwi/Projects/repo/fish_passage_skeena_2022_reporting/data/photos/8530/20220913_150359.JPG,20220913_150359.JPG,19
8530,C:/Users/matwi/Projects/repo/fish_passage_skeena_2022_reporting/data/photos/8530/20220913_150410.JPG,20220913_150410.JPG,19
8530,C:/Users/matwi/Projects/repo/fish_passage_skeena_2022_reporting/data/photos/8530/20220913_150420.JPG,20220913_150420.JPG,19
8530,C:/Users/matwi/Projects/repo/fish_passage_skeena_2022_reporting/data/photos/8530/20220913_161304.JPG,20220913_161304.JPG,19
